eventDate,location,tubeNumber,macroMoths,microMoths,countedBy
4/28/2019,BACA,,3,27,ES
4/28/2019,BIVA,,24,30,AS
4/28/2019,BOWA,,28,149,AS
4/28/2019,COFR,,30,87,MB
4/28/2019,DEMI,,22,51,ES
4/28/2019,JOMA,,12,46,CK
4/28/2019,PRCR,,26,44,AS
4/28/2019,PRCR,,32,36,AS
4/28/2019,RIST,,28,62,AS
5/4/2019,BACA,,1,35,AS
5/4/2019,BIVA,,14,281,AS
5/4/2019,BOWA,,11,105,AF
5/4/2019,BOWA,,34,85,MB
5/4/2019,BOWA,,33,148,AS
5/4/2019,COFR,,10,62,CK
5/4/2019,DEMI,,25,30,AS
5/4/2019,JOMA,,20,213,ES
5/4/2019,PRCR,2-Jan,54,102,CK
5/4/2019,PRCR,2-Jan,39,217,CK
5/4/2019,RIST,,5,22,CK
5/4/2019,RIST,4-Apr,3,60,FM
5/4/2019,RIST,4-Feb,0,53,AF
5/4/2019,RIST,4-Mar,20,309,AS
5/11/2019,AUCA,2-Jan,20,118,AF
5/11/2019,AUCA,2-Feb,41,204,MB
5/11/2019,BIVA,2-Jan,23,156,AS
5/11/2019,BIVA,2-Feb,12,112,AS
5/11/2019,BOWA,2-Jan,7,95,FM
5/11/2019,BOWA,2-Feb,31,141,AS
5/11/2019,DEMI,,22,102,AF
5/11/2019,JOMA,,13,367,MB
5/11/2019,PRCR,3-Mar,23,113,MB
5/11/2019,PRCR,3-Feb,26,143,AF
5/11/2019,RIST,5-Mar,0,10,CK
5/11/2019,RIST,3-Jan,13,72,MB
5/11/2019,RIST,3-Feb,19,114,CK
5/19/2019,PRCR,3-Jan,27,42,AF
5/22/2019,AUCA,3-Jan,28,153,AS
5/22/2019,AUCA,3-Mar,16,213,AS
5/22/2019,AUCA,3-Feb,26,186,AS
5/22/2019,BACA,,1,61,CK
5/22/2019,BIVA,,14,203,AF
5/22/2019,BOWA,2-Jan,1,8,FM
5/22/2019,BOWA,2-Feb,23,127,CK
5/22/2019,COFR,,24,323,FM
5/22/2019,JOMA,,5,282,AF
5/22/2019,PRCR,,20,32,AT
5/22/2019,PRCR,3-Feb,25,46,MB
5/22/2019,PRCR,3-Mar,11,73,MB
5/22/2019,RIST,2-Jan,6,57,FM
5/22/2019,RIST,3-Feb,12,113,AS
5/22/2019,RIST,3-Mar,10,284,FM
6/2/2019,AUCA,6-Apr,19,45,AF
6/2/2019,AUCA,6-Mar,2,83,AF
6/2/2019,AUCA,6-May,15,41,FM
6/2/2019,AUCA,6-Feb,10,49,FM
6/2/2019,AUCA,6-Jan,8,73,MB
6/2/2019,AUCA,6-Jun,13,68,CK
6/2/2019,BACA,,1,82,FM
6/2/2019,BIVA,,30,380,CK
6/2/2019,DEMI,,23,63,AS
6/2/2019,JOMA,3-Feb,14,207,AS
6/2/2019,JOMA,3-Jan,21,141,CK
6/2/2019,PRCR,5-Feb,6,19,MB
6/2/2019,PRCR,5-Mar,25,26,AS
6/2/2019,PRCR,5-Apr,13,31,MB
6/2/2019,PRCR,5-Jan,25,11,AS
6/2/2019,RIST,,12,191,AF
6/2/2019,RIST,2-Jan,15,86,MB
6/8/2019,AUCA,3-Jan,25,29,AS
6/8/2019,AUCA,3-Feb,10,35,MB
6/8/2019,AUCA,3-Mar,5,48,MB
6/8/2019,BACA,,0,21,AF
6/8/2019,BIVA,1-Jan,13,37,MB
6/8/2019,BOWA,2-Jan,7,116,ES
6/8/2019,BOWA,2-Feb,14,17,AS
6/8/2019,COFR,,10,23,ES
6/8/2019,DEMI,,13,34,FM
6/8/2019,JOMA,,5,11,AF
6/8/2019,PRCR,3-Mar,16,57,AF
6/8/2019,PRCR,3-Feb,10,28,FM
6/8/2019,RIST,3-Jan,24,38,CK
6/8/2019,RIST,3-Feb,30,90,AS
6/8/2019,RIST,3-Mar,25,85,MB
6/15/2019,AUCA,2-Jan,17,28,AS
6/15/2019,AUCA,2-Feb,3,29,AS
6/15/2019,BACA,,1,51,AS
6/15/2019,BIVA,,3,52,AF
6/15/2019,COFR,3-Feb,6,14,AS
6/15/2019,COFR,3-Mar,0,2,MB
6/15/2019,COFR,3-Jan,12,6,MB
6/15/2019,DEMI,,4,28,AF
6/15/2019,JOMA,2-Feb,0,24,CK
6/15/2019,JOMA,2-Jan,7,31,AS
6/15/2019,PRCR,3-Jan,5,57,CK
6/15/2019,RIST,2-Feb,18,130,CK
6/22/2019,AUCA,6-Jun,2,59,AF
6/22/2019,AUCA,6-May,14,22,AS
6/22/2019,AUCA,6-Feb,5,11,AS
6/22/2019,AUCA,6-Mar,5,35,MB
6/22/2019,AUCA,6-Apr,4,38,MB
6/22/2019,BACA,2-Jan,2,8,CK
6/22/2019,BACA,2-Feb,1,24,ES
6/22/2019,BIVA,2-Jan,3,31,AF
6/22/2019,BOWA,3-Mar,24,34,CK
6/22/2019,BOWA,3-Feb,1,17,AF
6/22/2019,BOWA,3-Jan,7,74,AF
6/22/2019,COFR,3-Mar,13,12,CK
6/22/2019,JOMA,3-Jan,12,3,CK
6/22/2019,PRCR,3-Mar,2,7,CK
6/22/2019,PRCR,8-Jun,1,11,MB
6/22/2019,PRCR,8-Jan,6,9,MB
6/22/2019,RIST,2-Jan,15,160,CK
6/29/2019,BACA,,2,82,FM
6/29/2019,BIVA,2-Jan,19,23,ES
6/29/2019,COFR,2-Feb,25,24,CK
6/29/2019,DEMI,2-Jan,42,16,AS
6/29/2019,DEMI,2-Feb,9,33,ES
6/29/2019,PRCR,4-Jan,18,28,FM
6/29/2019,RIST,2-Jan,29,108,CK
7/6/2019,AUCA,5-May,6,33,FM
7/6/2019,DEMI,2-Feb,1,3,FM
7/13/2019,JOMA,,6,26,FM
8/10/2019,BIVA,,9,25,CK
8/24/2019,BACA,,0,73,CK
8/24/2019,BOWA,,21,163,FM
8/24/2019,COFR,2-Feb,16,51,ES
8/24/2019,COFR,2-Jan,7,34,CK
8/24/2019,JOMA,,15,43,CK
9/7/2019,BACA,,2,113,CK
9/7/2019,BIVA,,13,84,AF
9/7/2019,JOMA,,8,44,FM
9/7/2019,RIST,2-Feb,20,74,CK
9/21/2019,BACA,,3,37,FM
9/21/2019,JOMA,,6,31,AS
9/28/2019,PRCR,2-Feb,4,143,CK
10/5/2019,JOMA,,20,69,CK
10/20/2019,BACA,,0,4,CK
10/20/2019,JOMA,,0,26,AF
10/21/2019,COFR,,1,9,MB
11/16/2019,BACA,,0,0,MB
11/16/2019,COFR,,0,0,MB
6/29/2019,DEMI,2-Feb,9,33,ES
6/22/2019,BACA,2-Feb,1,24,ES
6/2/2019,AUCA,6-Jun,13,68,CK
6/2/2019,JOMA,3-Jan,21,141,CK
6/22/2019,PRCR,8-Jun,1,11,MB
6/29/2019,PRCR,4-Jan,18,28,FM
6/22/2019,PRCR,8-Jan,6,9,MB
6/22/2019,AUCA,6-Apr,4,38,MB
6/8/2019,PRCR,3-Feb,10,28,FM
6/15/2019,BOWA,2-Jan,23,41,AS
6/15/2019,RIST,2-Jan,15,96,CK
6/29/2019,COFR,2-Jan,26,33,AS
6/29/2019,BIVA,2-Feb,11,39,CK
6/29/2019,JOMA,,32,57,AS
6/2/2019,JOMA,3-Mar,8,176,CK
6/15/2019,BOWA,2-Feb,11,89,CK
6/22/2019,COFR,2-Feb,9,7,MB
6/22/2019,DEMI,2-Jan,13,6,AS
7/27/2019,DEMI,,23,19,AS
6/2/2019,PRCR,5-May,7,44,MB
6/22/2019,BIVA,2-Feb,10,34,AS
6/29/2019,PRCR,4-Apr,11,51,MB
6/15/2019,PRCR,3-Mar,13,18,AS
6/22/2019,PRCR,8-Aug,1,1,MB
6/22/2019,PRCR,8-May,3,6,AT
12/1/2019,RIST,,4,16,AT
6/22/2019,PRCR,8-Feb,7,5,MB
6/22/2019,PRCR,8-Apr,0,4,MB
6/15/2019,PRCR,3-Feb,14,47,AS
6/22/2019,PRCR,8-Jul,3,6,MB
6/22/2019,AUCA,6-Jan,16,8,AS
6/2/2019,BOWA,,36,51,MB
12/1/2019,AUCA,,14,17,AT
7/27/2019,RIST,2-Jan,15,100,AS
6/22/2019,RIST,2-Feb,11,136,MB
6/29/2019,PRCR,4-Feb,25,21,AS
7/6/2019,BACA,,0,2,AS
6/22/2019,DEMI,2-Feb,16,14,MB
7/13/2019,AUCA,2-Feb,15,51,SM
6/29/2019,RIST,2-Feb,23,157,MB
7/6/2019,COFR,,17,6,AT
7/21/2019,JOMA,,20,18,AS
7/27/2019,BOWA,,26,58,AS
7/21/2019,AUCA,,2,74,MB
7/13/2019,PRCR,,14,76,MB
7/27/2019,BACA,,0,7,AS
7/13/2019,BIVA,,2,26,AS
6/8/2019,PRCR,3-Jan,20,25,MB
6/22/2019,JOMA,3-Feb,5,3,MB
7/6/2019,AUCA,5-Apr,33,28,AS
7/21/2019,AUCA,2-Jan,16,82,SM
7/6/2019,DEMI,2-Jan,10,2,SM
1/25/2020,BOWA,,4,8,MB
7/21/2019,AUCA,2-Jan,16,82,SM
7/6/2019,AUCA,5-Mar,25,10,AS
6/29/2019,PRCR,4-Mar,24,29,MB
1/18/2020,AUCA,,5,6,VK
1/18/2020,PRCR,,11,18,VK
7/13/2019,BOWA,,6,67,AS
7/13/2019,COFR,,3,12,MB
7/13/2019,BACA,,0,7,AS
2/22/2020,BACA,,0,0,MB
2/22/2020,COFR,,0,0,MB
2/22/2020,JOMA,,0,0,MB
2/22/2020,DEMI,,0,0,MB
2/22/2020,BIVA,,0,0,MB
2/22/2020,BOWA,,0,0,MB
2/22/2020,AUCA,,0,0,MB
2/22/2020,RIST,,0,0,MB
2/22/2020,PRCR,,0,0,MB
7/6/2019,AUCA,5-Feb,28,21,AS
7/6/2019,BOWA,,10,85,MB
7/6/2019,RIST,3-Jan,15,62,MB
7/13/2019,AUCA,,17,55,VK
7/13/2019,RIST,,12,124,AS
7/27/2019,COFR,,9,9,FM
8/2/2019,DEMI,,32,26,MB
8/2/2019,PRCR,2-Feb,26,32,FM
7/6/2019,RIST,5-Mar,22,20,AS
7/27/2019,PRCR,2-Jan,23,52,MB
7/27/2019,PRCR,,15,13,MB
7/27/2019,RIST,2-Feb,2,30,AS
7/27/2019,AUCA,,18,42,MB
7/27/2019,AUCA,2-Feb,16,55,AS
7/13/2019,DEMI,,4,6,NF
8/17/2019,PRCR,2-Jan,4,22,MB
8/24/2019,AUCA,2-Feb,7,62,NF
8/31/2019,BOWA,,31,87,MB
8/31/2019,JOMA,,13,34,NF
8/24/2019,AUCA,2-Jan,33,154,CC
8/31/2019,RIST,,25,128,MB
8/2/2019,PRCR,,25,45,MB
8/10/2019,DEMI,,26,37,NF
8/31/2019,RIST,2-Feb,7,62,NF
8/31/2019,DEMI,,12,28,NF
8/17/2019,BIVA,,9,16,MB
8/17/2019,BOWA,,12,93,MB
8/24/2019,PRCR,3-Mar,30,44,MB
8/2/2019,BIVA,,2,44,NF
8/2/2019,COFR,,3,10,NF
8/24/2019,PRCR,3-Jan,16,33,MB
8/17/2019,PRCR,2-Feb,24,41,MB
8/24/2019,RIST,2-Feb,13,203,NF
8/2/2019,BACA,,0,24,NF
8/31/2019,COFR,,7,11,MB
8/10/2019,BACA,,0,26,NF
8/17/2019,BACA,,0,13,NF
8/17/2019,RIST,,13,13,NF
8/24/2019,PRCR,3-Feb,2,40,MB
8/10/2019,PRCR,2-Feb,36,59,MB
8/10/2019,JOMA,,13,45,NF
8/31/2019,BIVA,,14,76,NF
8/10/2019,PRCR,2-Jan,14,49,NF
8/2/2019,RIST,,17,149,MB
8/17/2019,COFR,,7,24,MB
8/24/2019,RIST,,10,134,NF
8/2/2019,JOMA,,13,36,MB
8/2/2019,BOWA,,13,130,NF
8/31/2019,PRCR,,23,52,MB
1/18/2020,JOMA,,1,1,MB
2/1/2020,COFR,,4,4,MB
1/25/2020,DEMI,,3,9,MB
8/10/2019,COFR,,24,28,CJC
8/24/2019,DEMI,,20,38,MB
8/24/2019,BIVA,,13,90,NF
2/1/2020,BOWA,,7,3,MB
8/21/2019,AUCA,,12,146,NF
1/18/2020,BOWA,,4,4,MB
2/1/2020,AUCA,,8,6,NF
10/12/2019,PRCR,,3,48,NF
10/5/2019,BACA,,1,6,NF
9/28/2019,BOWA,,14,86,MB
10/12/2019,BACA,,0,3,NF
1/11/2020,BIVA,,0,0,NF
1/26/2020,RIST,,6,21,NF
1/11/2020,BOWA,,2,12,MB
10/5/2019,PRCR,,23,183,MB
10/5/2019,BIVA,,1,92,NF
9/21/2019,AUCA,,18,157,MB
9/28/2019,AUCA,,25,94,NF
9/11/2019,AUCA,,10,84,NF
10/5/2019,BOWA,,2,96,NF
9/7/2019,DEMI,,36,70,MB
9/7/2019,BOWA,,34,113,NF
9/12/2019,BIVA,,4,36,NF
10/26/2019,JOMA,,1,39,NF
9/7/2019,PRCR,,23,71,MB
2/28/2020,RIST,,0,0,MB
2/28/2020,DEMI,,0,0,MB
2/28/2020,PRCR,,1,0,MB
2/28/2020,JOMA,,0,0,MB
1/25/2020,AUCA,2-Feb,26,34,NF
11/16/2019,PRCR,,3,1,NF
10/12/2019,COFR,,4,36,MB
1/25/2020,AUCA,2-Jan,4,7,NF
9/28/2019,RIST,2-Jan,19,115,MB
1/25/2020,PRCR,2-Feb,5,2,MB
9/28/2019,RIST,2-Feb,18,109,MB
2/28/2020,COFR,,0,1,MB
2/28/2020,AUCA,,0,0,MB
9/29/2019,AUCA,2-Feb,10,131,NF
9/21/2019,BIVA,,7,62,NF
2/28/2020,BACA,,0,0,NF
1/18/2020,COFR,,1,2,MB
1/1/2020,RIST,,1,1,NF
12/12/2019,PRCR,,0,6,MB
1/1/2020,BACA,,0,0,NF
12/12/2019,BACA,,0,4,NF
12/12/2019,DEMI,,0,1,MB
12/12/2019,BOWA,,0,3,NF
12/12/2019,RIST,,2,0,MB
12/22/2019,COFR,,0,6,NF
1/1/2020,JOMA,,0,1,NF
1/1/2020,BIVA,,0,0,NF
12/12/2019,BIVA,,0,2,NF
1/5/2020,BACA,,0,4,NF
12/12/2019,JOMA,,0,1,NF
12/22/2019,JOMA,,0,1,NF
1/5/2020,BIVA,,0,5,NF
1/5/2020,JOMA,,0,3,NF
1/5/2020,PRCR,,2,21,NF
2/15/2020,JOMA,,0,0,NF
2/8/2020,BACA,,0,2,NF
1/5/2020,RIST,,3,20,MB
2/15/2020,COFR,,2,1,NF
2/9/2020,RIST,,2,0,NF
1/11/2020,RIST,,0,32,NF
2/15/2020,PRCR,,12,13,NF
2/15/2020,BOWA,,16,3,MB
1/5/2020,DEMI,,2,7,NF
2/9/2020,BOWA,,3,2,MB
1/11/2020,JOMA,,1,21,NF
1/11/2020,BACA,,1,3,NF
2/1/2020,BACA,,3,11,MB
2/15/2020,BIVA,,1,2,MB
2/4/2020,DEMI,,1,2,NF
2/9/2020,COFR,,4,2,NF
2/9/2020,JOMA,,2,0,MB
1/11/2020,DEMI,,2,15,MB
1/25/2020,BOWA,,6,11,NF
2/4/2020,PRCR,,7,0,NF
1/11/2020,COFR,,1,11,MB
2/15/2020,RIST,,2,4,NF
2/15/2020,DEMI,,1,0,NF
9/11/2019,COFR,,4,25,AS
9/24/2019,BACA,,2,14,AS
9/12/2019,DEMI,,3,11,AS
11/16/2019,AUCA,,24,3,AS
8/31/2019,AUCA,,61,127,AS
11/12/2019,BIVA,,4,9,AS
11/16/2019,JOMA,,3,0,AS
9/11/2019,BACA,,0,66,AS
2/1/2020,PRCR,,12,32,AS
9/7/2019,COFR,,15,122,AS
9/11/2019,JOMA,,10,44,AS
9/12/2019,BOWA,,2,56,AS
9/28/2019,DEMI,,9,81,AS
9/11/2019,PRCR,,6,42,AS
1/18/2020,BOWA,,0,2,AS
1/18/2020,BIVA,,0,2,AS
2/28/2020,BOWA,,0,0,AS
9/21/2019,BOWA,,5,102,AS
9/28/2019,PRCR,2-Jan,20,143,AS
9/7/2019,RIST,2-Jan,11,153,AS
9/28/2019,BIVA,,1,150,AS
9/11/2019,RIST,,13,144,AS
9/7/2019,AUCA,2-Feb,19,179,AS
9/7/2019,AUCA,2-Jan,16,149,AS
9/7/2019,PRCR,,19,201,AS
1/25/2020,AUCA,,0,3,AS
11/2/2019,RIST,,10,48,AS
11/2/2019,AUCA,,14,44,AS
11/2/2019,PRCR,,10,82,AS
11/3/2019,BACA,,0,5,AS
11/2/2019,COFR,,0,18,AS
11/2/2019,JOMA,,0,6,AS
11/2/2019,BOWA,,4,26,AS
10/26/2019,AUCA,,11,145,AS
10/26/2019,DEMI,,6,42,AS
10/26/2019,BIVA,,0,34,AS
10/26/2019,PRCR,,6,116,AS
10/26/2019,BOWA,,8,52,AS
10/5/2019,DEMI,,8,39,AS
10/26/2019,RIST,,5,147,AS
10/20/2019,BIVA,,1,18,AS
10/5/2019,COFR,,7,67,AS
10/5/2019,AUCA,,10,139,AS
10/20/2019,AUCA,,3,102,AS
10/20/2019,RIST,,8,115,AS
10/20/2019,PRCR,,8,153,AS
10/20/2019,BOWA,,2,115,AS
10/20/2019,DEMI,,0,16,AS
10/26/2019,BACA,,0,25,AS
10/26/2019,COFR,,0,14,AS
11/23/2019,BOWA,,10,3,AS
1/25/2020,PRCR,,9,28,AS
10/12/2019,RIST,,8,121,AS
9/21/2019,DEMI,,12,36,AS
10/12/2019,DEMI,,4,30,AS
2/1/2020,JOMA,,1,7,AS
12/8/2019,BIVA,,1,7,AS
10/12/2019,JOMA,,2,19,AS
10/12/2019,AUCA,,6,57,AS
9/21/2019,COFR,,7,47,AS
11/2/2019,DEMI,,2,15,AS
10/12/2019,BIVA,,3,47,AS
10/12/2019,BOWA,,3,64,AS
9/28/2019,COFR,,10,167,AS
9/21/2019,RIST,,12,171,AS
10/5/2019,RIST,,27,278,AS
9/21/2019,PRCR,,30,184,AS
11/23/2019,AUCA,,23,8,AS
11/23/2019,BIVA,,13,2,AS
12/1/2019,DEMI,,2,6,AS
11/23/2019,RIST,,6,7,AS
1/1/2020,COFR,,3,2,AS
12/1/2019,BOWA,,3,12,AS
12/1/2019,BIVA,,11,13,AS
11/23/2019,DEMI,,8,7,AS
12/8/2019,AUCA,,6,5,AS
12/1/2019,PRCR,,3,17,AS
11/23/2019,JOMA,,1,8,AS
12/8/2019,PRCR,,4,11,AS
11/23/2019,PRCR,,3,15,AS
12/8/2019,BOWA,,1,6,AS
12/1/2019,COFR,,1,12,AS
12/8/2019,BACA,,1,8,AS
1/1/2020,PRCR,,0,11,AS
12/8/2019,RIST,,0,7,AS
12/1/2019,BACA,,0,7,AS
12/8/2019,COFR,,2,7,AS
1/1/2020,BOWA,,0,3,AS
12/22/2019,BACA,,0,9,AS
12/8/2019,JOMA,,0,4,AS
12/1/2019,JOMA,,0,7,AS
